link,brand,size,product_name,new_price,old_price
https://www.grailed.com/listings/67734747-avant-garde-x-rick-owens-x-rick-owens-drkshdw-rick-owens-drkshdw-long-t-shirt-dress-6697ac?g_aidx=Listing_by_date_added_production&g_aqid=20c6721d7edaaffc0b2bd66406b113fa,AVANT GARDE × RICK OWENS × RICK OWENS DRKSHDW,M,Rick Owens DRKSHDW Long T Shirt Dress 6697AC,125.0,
https://www.grailed.com/listings/67704551-rick-owens-rick-owens-black-tight-long-sleeve-t-shirt?g_aidx=Listing_by_date_added_production&g_aqid=956ad4d549e8de6e428f3efa98b10b50,RICK OWENS,M,Rick Owens Black Tight Long-Sleeve T-Shirt,125.0,
https://www.grailed.com/listings/67701218-rick-owens-rick-owens-turbodrk-metallic-square-toe?g_aidx=Listing_by_date_added_production&g_aqid=ce5ae5fc86762f52f4199f8b762a2ce9,RICK OWENS,10.5,Rick Owens Turbodrk metallic square toe,126.0,140.0
https://www.grailed.com/listings/67743067-rick-owens-ss17-walrus-oversized-sweater?g_aidx=Listing_by_date_added_production&g_aqid=c35e4fb4733abbc2e27bde5ac4ea168d,RICK OWENS,S,SS17 'Walrus' Oversized Sweater,127.0,
https://www.grailed.com/listings/67867500-rick-owens-rick-owens-water-330ml-bottle-nectar-of-the-gods-set-of-2?g_aidx=Listing_by_date_added_production&g_aqid=291ed51ea73fbebb07c66531b53d0226,RICK OWENS,OS,"Rick Owens Water 330ML Bottle ""Nectar of the Gods"" Set of 2",134.0,
https://www.grailed.com/listings/67746235-rick-owens-x-rick-owens-drkshdw-rick-owens-fw-2020-performa?g_aidx=Listing_by_date_added_production&g_aqid=c35e4fb4733abbc2e27bde5ac4ea168d,RICK OWENS × RICK OWENS DRKSHDW,M,Rick Owens FW 2020 PERFORMA,135.0,150.0
https://www.grailed.com/listings/67820738-japanese-brand-x-le-grande-bleu-l-g-b-x-rick-owens-h-bis-bono-jacket?g_aidx=Listing_by_date_added_production&g_aqid=7dfd6d52d7bbc735e9a2f9488bbd477e,JAPANESE BRAND × LE GRANDE BLEU (L.G.B.) × RICK OWENS,M,H bis bono jacket,135.0,
https://www.grailed.com/listings/67846044-rick-owens-black-trunk-ring-size-fr-56?g_aidx=Listing_by_date_added_production&g_aqid=2025d6cf17ef0c38d0117c6f60c21b86,RICK OWENS,OS,Black Trunk Ring Size FR 56,135.0,150.0
https://www.grailed.com/listings/67886678-rick-owens-rick-owens-trench-coat?g_aidx=Listing_by_date_added_production&g_aqid=91a4b4114cc6a5595bddc7c0319c8992,RICK OWENS,S,Rick owens trench coat,140.0,
https://www.grailed.com/listings/67686618-converse-x-rick-owens-x-rick-owens-drkshdw-ricky-darkshadow-converse-hi?g_aidx=Listing_by_date_added_production&g_aqid=bf2fef1a323d2163b2506bbf4703be0c,CONVERSE × RICK OWENS × RICK OWENS DRKSHDW,10,Ricky Darkshadow Converse Hi,140.0,
